topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is a good idea.,They think it is a good idea and they support it.,The facts are that it is a good idea and they support it.,They do not support their point with anecdotes.,They do not quote any anecdotes.,I see where he wrote it.
It is not clear.,They think it is a good idea and support it.,N/A,N/A,N/A,It says all
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is Purdue.,The person's points are that they do not know much about Purdue and that it seems like a cartoon.,The facts are that the person does not know much about Purdue.,There are no anecdotes.,There are no quotes.,"Purdue. I wouldn't, I would call that a cartoon. Yeah. Not a graph."
The topic is the new design.,The person thinks the new design is too busy and the colors are garish.,N/A,N/A,N/A,I can't say I
no clear topic,does not state a clear opinion,no,no,no,Frick? I just don't know
The topic is the new representatives.,They think the new representatives are not good.,N/A,"The person said, ""I don't know who employed these new representatives.""",N/A,"No, let's go. I said, I don't know who employed these new representatives."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is not clear.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No. I'm sorry.
The topic is taking your time.,The person's points are that rushing is not necessary and that it is okay to take your time.,The facts are that rushing is not necessary and that it is okay to take your time.,The person does not support their points with anecdotes.,N/A,It's okay. You don't have to rush.
The topic the person is talking about is reading a document.,"The person's points are that they would like to read the document and then respond, and that they don't want to read it into the record.","The facts are that the person would like to read the document and then respond, and that they don't want to read it into the record.","The anecdote is that the person would like to read the document and then respond, and that they don't want to read it into the record.","The person quotes the anecdote by saying ""May I read it? If you don't want to read it into the record, can I just read it and then respond?""","May I read it? If you don't want to read it into the record, can I just read it and then respond?"
The topic is not stated.,"The person's points are that they were reading ahead, and they are not sure.",The facts are that the person was reading ahead.,There are no anecdotes.,There are no quotes.,I think so. I was kind of reading ahead of you.
The topic they are talking about is that it is a good thing.,They think it is a good thing.,The facts are that it is a good thing.,They do not support their point with anecdotes.,They do not quote any anecdotes.,You read the words correctly
The topic they are talking about is that it is good.,They think it is a good thing.,The facts are that it is good.,They do not support their point with anecdotes.,They do not quote any anecdotes.,It is.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is a good idea.,They think it is a good idea and would do it themselves.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,That's how I would
what topic are they talking about?,can you summarize their points?,"if they support their point with facts, what are the facts?","if they support their point with anecdotes, what are the anecdotes?",can you quote the anecdote?,I see
N/A,They want to focus on one question at a time.,N/A,N/A,N/A,"Let's break that into one question at a time, please."
The topic they are talking about is an idea.,They think it is a good idea and they support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,That's what it says here.
The topic they are talking about is an idea.,They think it is a good idea and they support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,That's what it says here.
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,N/A,That's what it says.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
N/A,The person has not heard of the story or the study before.,N/A,N/A,N/A,I was not aware of this story or the study or the marketing materials or statements.
Unknown,The person cannot recall whether they were for or against the topic at the time the document was written,No,No,No,"Operator. I do not recall whether we were, you're talking about at the time of this document being written. Yes, I don't recall."
The topic they are talking about is their experience as the CEO during 2000-2003.,They summarize their points by saying that they were the CEO during 2000-2003.,The facts are that they were the CEO during 2000-2003.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Correct? During 2000, very, very late 99 until early 2003. I was the CEO. Yes."
The topic they are talking about is Robert.,They think Robert was a great guy and he did a lot for the company.,The facts are that Robert was a great guy and he did a lot for the company.,They do not support their point with anecdotes.,N/A,Yes. Okay. What was Robert in 99 until this?
They are talking about him.,They think he is a great medical officer.,The facts are that he was a senior medical officer.,They do not support their point with anecdotes.,N/A,He was a senior medical officer.
They are talking about Purdue.,They think Purdue is a good school.,The facts are that Purdue is a good school.,They do not support their point with anecdotes.,N/A,That's what it says. It says certain Purdue
The topic is unknown.,The person's points are that they are unsure and think it might not be a good idea.,N/A,N/A,N/A,"I don't know,"
The topic is unclear.,They do not state any clear points.,N/A,N/A,N/A,To the best of my recollection. That's approximately true.
The topic they are talking about is whether or not something is good.,They think it is good because it is distributed.,The facts are that it is distributed.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Distributed. Yes.
The topic they are talking about is whether or not the products were shown to doctors.,"They say that some sales reps may have shown the products to doctors, and that some doctors may have used them.","The facts are that some sales reps may have shown the products to doctors, and that some doctors may have used them.",They do not support their point with anecdotes.,N/A,It's reasonable to conclude that some sales reps may have shown them to doctors yes. To some doctors.
The topic the person is talking about is whether or not it would have been the practice to recover them.,The person's points are that they don't know if it was found and they don't know if it was done.,The facts are that they don't know if it was found and they don't know if it was done.,There are no anecdotes.,There is no quote.,"I don't know if this, when this was found and I don't know when this was found by sales or marketing management or medical department, it would've been the practice to recover them. Yes, but I don't know if it was found and I don't know if it was done."
Unknown,Cannot summarize points,No,No,No,"This all came to light in 2006 or seven. So I don't know it could have been long past, but I don't know."
It is impossible to determine the topic without more information.,The person does not provide any points.,N/A,N/A,N/A,I don't believe so.
,The person's points are that they are unsure and do not know where the change was made in the package insert.,The facts are that the change was made in the package insert and that it had to be submitted to the FDA for approval.,The claims made are that the person is unsure and does not know where the change was made in the package insert.,The premises relied on are that the change was made in the package insert and that it had to be submitted to the FDA for approval.,"I'm not sure. No, I don't. And I'm not certain where it was changed in the package insert. I don't know if it was in the package insert then that had to be submitted to the FDA and to get approval, uh, in advance of using it. But I just don't know what this refers to."
FDA,The person summarizes their points by saying that they do not know what the people who wrote the FDA understood because they were not involved in rewriting it.,No,No,No,I don't know what the people who wrote it meant by that or what the FDA understood cuz I was not involved in rewriting it.
It is not clear.,They think the other person is wrong and provides no evidence to back up their claim.,N/A,N/A,N/A,"No, they're not correct."
The topic is which number to follow.,The person's points are that they are not sure which number to follow.,N/A,N/A,N/A,"Are you reading? I'm just, yeah. Sorry to interrupt you, sir. Just tell me which number I should be following."
They are talking about the number 44.,They think it is a good number.,The facts are that it is a good number.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Which is 44. Yes.
no,wants to read before deciding,no,no,no,Let me read it and I'll tell you if I agree.
The topic they are talking about is the stimulus package.,They think it is a good idea because it will help the economy.,The facts are that it will create jobs and help the economy.,They do not support their point with anecdotes.,N/A,During what time period?
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is not clear.,The person's points are that they are undecided and that they don't have a strong opinion either way.,N/A,N/A,N/A,I don't think so.
N/A,They are unsure about answering a question and whether or not it is a good idea.,N/A,N/A,N/A,Should I answer it? Sure. You can answer it. I don't don't think so.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
N/A,The person is not willing to answer the question without more information.,N/A,N/A,N/A,"You'd have to put a timeframe to that or, or ask the question with more color, um, and more details."
,"The person's points are that some physicians learned how to prescribe for pain from materials that sales reps gave them, and that before 1985, doctors did not want to deal with pain and left patients inadequately treated.","The facts are that some physicians learned how to prescribe for pain from materials that sales reps gave them, and that before 1985, doctors did not want to deal with pain and left patients inadequately treated.","The claims the person makes are that some physicians learned how to prescribe for pain from materials that sales reps gave them, and that before 1985, doctors did not want to deal with pain and left patients inadequately treated.","The premises the person relies on are that some physicians learned how to prescribe for pain from materials that sales reps gave them, and that before 1985, doctors did not want to deal with pain and left patients inadequately treated.","Some physicians learned how to prescribe for pain from materials that we produced or information that sales reps gave them. Others knew how to treat pain and, um, they would be more interested in trying this agent, uh, in comparison to how they were treating pain. Before, when we entered the pain market in 1985 in the us, there was almost, it was abysmal in a sense, not ignorance so much as ignoring pain in patients. Um, doctors just didn't want to deal with it and uh, left patients, uh, inadequately treated."
what topic are they talking about?,can you summarize their points?,"if they support their point with facts, what are the facts?","if they support their point with anecdotes, what are the anecdotes?",can you quote the anecdote?,I don't understand the question.
It is not clear.,They don't understand it.,N/A,N/A,N/A,"I, I really don't understand it"
N/A,They don't understand.,N/A,N/A,N/A,But I don't underst I don't understand
N/A,The person does not understand the statement.,N/A,N/A,N/A,"Oh, okay. I, I don't understand. I don't understand that statement. So I really can't agree or disagree with it."
The topic is unknown.,The person's points are that they cannot recall what the document says and that they would need to review it again to be sure.,N/A,N/A,N/A,"I would have to review it. It's my recollection. As you read, as we read through it was that one or two things involved in proper training, but I can't affirm that until I reread it."
n/a,none,n/a,n/a,n/a,"No, I don't know."
no topic given,summarizes points,no facts given,no anecdotes given,,I had no idea.
The topic is an assessment of blame.,"The person's points are that they don't know of any attempt to assess blame, and that many employees were dismissed.","The facts are that a compliance department was created, and that many employees were dismissed.",The person does not support their points with anecdotes.,N/A,"I know as I said before that from 2000, sometime in 2000, as we became convinced that there was a problem, many efforts were launched to train retrain, uh, and to determine, uh, whether sales reps were following company policy. And that effort goes on to this day. We, we put in place, for example, a whole compliance department in 2003 or 2004 with many employees who reported independently to the board and have continued to report independently to the board, um, to, in a sense back up the sales department and marketing department's own efforts to assure, uh, proper training and compliance with training. Um, but I don't know of any attempt to measure, uh, who said what and how many times, uh, when people were properly trained and, and they deviated from that, or went beyond that, uh, they were sanctioned and many of them were dismissed. We also had a whole downsizing in the field force from about 2000 3 0 4 until about 2007 or eight. Um, in which the 800 eventually went down to something like 200. Um, so, uh, I don't think there are too many survivors from this period, um, because they were selectively weeded out. Um, because on average three quarters of them would've been gone. Um, but I don't, I can't answer the, I know of any attempt to assess blame in that sense or to count."
The topic is unknown.,"The person's points are that they don't know, and they are unsure.",N/A,N/A,N/A,"And the answer is, I don't know."
The topic they are talking about is whether or not some medical students' statements could compromise care.,"They think that some statements could suboptimize care, but they are not sure.","The facts are that some statements could suboptimize care, but not all statements do.",They do not support their point with anecdotes.,N/A,"Some of them yes. In some patients, obviously not all patients, but in some patients, some of the statements could compromise care. I would like to say suboptimize care, but,"
Call notes,"The person is talking about call notes that they were shown, and whether or not they asked if Mr. Shapiro had seen them.",No,No,No,"As far as I know, I didn't, I was shown a few call notes. I didn't ask were these shown to Mr. Shapiro,"
The topic is time.,They do not state any points.,N/A,N/A,N/A,At about what time?
The topic they are talking about is that it was a good thing.,They believe that it was a good thing.,The facts are that it was a good thing.,They do not support their point with anecdotes.,They do not quote any anecdotes.,I believe it was.
The topic they are talking about is the change that was made to make the supervisors audit a substantial percentage of the call notes in their span of control.,They think that the change will make the supervisors audit a substantial percentage of the call notes in their span of control.,The facts are that the change will make the supervisors audit a substantial percentage of the call notes in their span of control.,They do not support their point with anecdotes.,N/A,"That I don't know, but the biggest change was to make the first and second line supervisors audit a substantial percentage of the call notes in their span of control."
The topic they are talking about is the notes they saw.,They cannot determine what was happening based on the notes they saw.,The facts are that they saw sketchy notes that were in some cases almost indeterminate.,There are no anecdotes.,N/A,"I would. I, I couldn't possibly guess. I don't know what they were before or after. They were very sketchy notes. The ones I saw, I must say they were selected and shown to me, but the ones I saw were in some cases almost indeterminate, you could not know what was happening."
The topic is the number of justices on the Supreme Court.,"The person's points are that they think there are fewer than six or eight justices on the Supreme Court, but they'll say six.",The fact is that the person thinks there are fewer than six or eight justices on the Supreme Court.,There are no anecdotes.,There are no quotes.,"Six, eight, no more. I think probably fewer than, than six or eight, but I'll say six."
The topic is documents that the person was shown during the preparation for the deposition.,The person's points are that they were shown the documents during the preparation for the deposition and that they had never seen them before.,The facts are that the person was shown the documents during the preparation for the deposition and that the person had never seen them before.,There are no anecdotes.,There is no quote.,I was shown during the preparation for the deposition. I'd never seen them before.
The topic is unclear.,They do not state any clear points.,N/A,N/A,N/A,My recollection is somewhere.
The topic the person is talking about is an investigation that was done.,"The person's points are that there were many people in the law department who could have done the investigation, and they don't know if accuracy was checked.",The facts are that there were many people in the law department who could have done the investigation.,There are no anecdotes.,N/A,"I did not ask that his investigation be audited for accuracy. Uh, there were many people in the law department, none of the compliance department who may well have done. So, but I don't know."
,They cannot recall the specific details of the event.,The anecdote is about a specific event that happened in the winter.,They do not quote the anecdote.,They make claims about their memory.,"In the winter? Best of my recollection, winter of 2000, that is early in the year 2000."
The topic is Dr. Haddocks.,The person's points are that Dr. Haddocks is an expert in pain management and addiction treatment.,The facts are that Dr. Haddocks is a dentist and an MD.,There are no anecdotes.,N/A,"Dr. Haddocks is a, both a dentist and an MD. He's an expert in both analgesic pain use of analgesics and pain management in general. And also, uh, I think is a recognized expert on addiction and treatment of addiction."
The topic is whether or not he did a good job.,They think he did a good job.,The facts are that he did a good job.,They do not support their point with anecdotes.,N/A,He did.
Unknown,"The person is trying to remember whether two people were for or against something, but can't recall.",No,No,No,"Rena Goldman, I don't know. And Wendell <affirmative> and Wendell Fisher, uh, was a sales manager, but I don't recall how high up he was in sales management. He was a, I think he was a regional manager at that point."
The topic is unknown.,They cannot remember the person's name or position.,N/A,N/A,N/A,"I, I, the name, but I don't, I can't tell you what his position was. He was a field sales person. I don't know whether he was a manager or not, whether he was a district manager or a salesman."
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is medical marijuana.,The person's points are that medical marijuana is effective for pain relief and that it has been abused.,The facts are that medical marijuana is effective for pain relief and that it has been abused.,There are no anecdotes.,There are no quotes.,"When used in pain patients? Yes. Or when abused,"
The topic the person is talking about is the effects of the buzz from alcohol.,The person's points are that they are not familiar with the topic and that there may be a brief period of time in which people feel some euphoria or sensation.,The facts are that the person is not familiar with the topic and that there may be a brief period of time in which people feel some euphoria or sensation.,There are no anecdotes.,N/A,"Uh, I don't, I can't tell you the percentages. I'm sure there are some people who might say that they feel a sense of euphoria. I, I, I really don't know what buzz means when people say they have a buzz, I, I, I'm not familiar, but there may be a brief period of time in which they feel some euphoria or sensation,"
The topic the person is talking about is how well the patient does.,The person's points are that the patient's familiarity and the dose are elements that play into how well the patient does.,The facts are that the patient's familiarity and the dose are elements that play into how well the patient does.,The person does not support their point with anecdotes.,N/A,"Not so well, that's an element, but it has to do also with the dose and also with the patient's, uh, familiarity, if they've been on the same dose for a while, uh, I would think it's far less likely. And then there's in individual patient variation finally."
The topic they are talking about is euphoria.,"They are saying that if people have any psychological experience with euphoria, it is most likely at the peak blood level.","The facts are that the fewer peaks, the fewer periods of euphoria.",They do not support their point with anecdotes.,N/A,"The, if they have any psyche, psychological experience, like euphoria, it's most likely to be at the peak blood level. So the fewer, the peaks, the fewer, the periods of euphoria, but I'm just generalizing. I'm not telling you that we've ever measured that"
The topic is an investigation into claims.,"The person's points are that they did not know about the claims until they were told by management, and that they cannot say which investigation or when it happened.",N/A,N/A,N/A,"Not until the investigations were done. Um, and I can't tell you which investigation or when, uh, but I certainly, uh, didn't know that people were saying that until I was told, uh, by management that they had done investigation and found that some people had said that,"
The topic is dependency on the drug.,They cannot predict whether or not someone will develop a dependency on the drug.,The facts are that there is enormous individual variation and that they cannot predict with any one person whether or not they will develop a dependency.,There are no anecdotes given.,N/A,"I, I can give you a guess, but I don't know. It would, there's enormous individual variation here. So you can't say with any one person or predict that this person will develop dependency or this per, that person, won't at 40 milligrams a day. I assume that's the presumptive daily dose. You're you're asking me about,"
N/A,N/A,N/A,N/A,N/A,I'm not aware of those studies being conducted?
The topic they are talking about is addiction.,"They think that it is possible to study physiologic dependence, but addiction is a different story.",The facts are that Purdue and other industry partners are on the cusp of trying to study addiction.,They do not support their point with anecdotes.,N/A,"Dependency that is physiologic dependence, I think would be an achievable study that could be done. Addiction remains to be seen. A lot of people would say, it's almost impossible to do that, but the Purdue and other industry partners are just on the, on the cusp of trying to do that with a number of studies."
The topic is an interesting question but they do not know the answer.,The person's points are that it is an interesting question but they do not know the answer.,The facts are that it is an interesting question but they do not know the answer.,There are no anecdotes.,There are no quotes.,"I would've to think about whether I could figure out a retrospective study. It would, it would be an interest. It's an interesting question, but I don't know the answer to it."
The topic Robert is talking about is his work as a medical scientist.,Robert's work focused on developing new treatments for diseases.,The facts Robert mentioned were about the research he conducted and the new treatments he developed.,The anecdote Robert shared was about a patient who was successfully treated with a new treatment he developed.,"""Robert was a senior medical scientist in the medical department.""",Robert was a senior medical scientist in the medical department.
The topic is not stated.,The person's points are that they want to concentrate on the topic and they want the statement repeated.,The facts are that the person wants to concentrate on the topic and they want the statement repeated.,There are no anecdotes.,There are no quotes.,"Uh, if you could just repeat the statement so that I can concentrate on it."
The topic is unknown.,"The person's points are that they don't know of any study done on the topic, but they can't say for sure that no study was done.",The facts are that the person doesn't know of any study done on the topic.,There are no anecdotes given.,N/A,"I don't know of any study that was done, but I don't know that no study was done. I just can't. I can't tell you for sure."
The topic they are talking about is Purdue Frederick.,They are referring to Purdue Frederick and the timeframe up to the 2007 or 2010.,The facts are that Purdue Frederick was up to the 2007 or 2010.,They do not support their point with anecdotes.,N/A,You're referring that to Purdue Frederick and you're referring to the timeframe up to the 2007 or 2010.
N/A,N/A,N/A,N/A,N/A,"Uh, okay. I just wanted to, I don't know my answer's the same, but I just wanted to be sure that my answer formed"
The topic the person is talking about is the usability of many formulations.,The person's points are that the studies were well done and that the delivery system might be able to be defeated by drug abusers.,The facts are that the studies were done by Purdue and that they were state of the art.,There are no anecdotes.,N/A,"We've done studies on Abu usability of many formulations, uh, and that we did them in the course of trying to develop, uh, and then select amongst several formulations. Uh, these were studies that were pioneered by Purdue with outside investigators and they attempted to, and I think quite would be considered today state of the art, um, to discern how easily practice drug abusers might be able to, uh, defeat the delivery system and, and abuse it."
The topic they are talking about is the idea.,They think it is a good idea and they support their points with facts and anecdotes.,The facts are that it is a good idea and it is supported by many people.,The anecdote is that it is a good idea and it is supported by many people.,"""In the end, I think it is a good idea.""",In the
The topic they are talking about is whether or not they have tried it.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their point with anecdotes.,N/A,No. I have not.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic the person is talking about is unknown.,"The person's points are that they would need to know more information before registering surprise, and that it would surprise them less if he said that they could have attempted to do it.","The facts are that the person would need to know more information before registering surprise, and that it would surprise them less if he said that they could have attempted to do it.",There are no anecdotes.,There is no quote.,"I would have to know more before I've registered surprise or not. I'd have to know what he meant, what kind of studies and, and so on, perhaps he said we could have attempted to do it. That would surprise me less than if he said absolutely it could have been done. I, I just have to know what he's talking about."
N/A,They do not mention any points.,N/A,N/A,N/A,Name's not familiar instantly familiar to me.
The topic is unclear.,They do not make any points.,N/A,N/A,N/A,36 36.
The topic is OxyContin.,The person's points are that the data showed that OxyContin works more quickly than other drugs and that it is a safe and effective medication.,The facts are that the data showed that OxyContin works more quickly than other drugs and that it is a safe and effective medication.,There are no anecdotes.,There are no quotes.,"That was what our data showed more or what almost as immediate, I believe, uh, in the study that I was referencing, but didn't reference in the note. I think it was 41 minutes for immediate release and 45 minutes or something like that for OxyContin. Um, now I recognize who he is"
The topic is betaine.,The person's points are that the doctor may have asked for betaine and that it is a necessary part of any surgical procedure.,The facts are that betaine is an antiseptic.,There are no anecdotes.,There is no quote.,"Uh, he was, uh, a doctor who a friend in Utah, um, was using and he must, it looks like he may have asked through his friend for me to send him some betaine. He was a DPN doctor of pediatric medicine, and they do a lot of surgery and betaine, um, is a necessary part of any surgical procedure. At least it's an antiseptic. An antiseptics is a necessary part."
The topic they are talking about is whether or not he was a great president.,They think he was a great president.,The facts are that he was a great president.,They do not support their point with anecdotes.,N/A,"Yes, he was."
It is not clear what topic they are talking about.,They do not mention any points.,N/A,N/A,N/A,Sackler. That's what it
The topic is not stated.,The person's points are that they believe they did something and they are happy with the result.,The facts are that the person believes they did something.,There are no anecdotes.,There is no quote.,I believe we did.
The topic is whether or not something was produced.,"The person's points are that they are unsure if anything was produced and that if anything was produced, it would've gone to the FDA.","The facts are that the person is unsure if anything was produced and that if anything was produced, it would've gone to the FDA.",There are no anecdotes.,There are no quotes.,"Um, I, I'm not clear that he was actually requesting it just saying that he was his opinion, it was necessary for registration. Uh, but I don't know whether anything was produced. I doubt anything was produced here that was not produced for the FDA or the other European agencies who approved OxyContin, if anything was produced, that was different. That is additional studies. They would've also gone to the FDA."
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is the use of OxyContin.,They are questioning the use of OxyContin in the five month.,N/A,N/A,N/A,OxyContin in the five month? Did you say
The topic they are talking about is their hearing.,They cannot summarize the points.,N/A,N/A,N/A,I'm sorry. My hearing is not correct. Yeah.
The topic they are talking about is the difference between taking a drug twice a day versus taking it four to six times a day.,They are discussing the difference between taking a drug twice a day versus taking it four to six times a day.,"The facts are that taking the drug twice a day results in two peaks, while taking it four to six times a day results in four to six peaks.",They do not support their point with anecdotes.,N/A,"I was familiar with some studies, uh, that demonstrated that, uh, it was to some extent, an obvious characteristic is characteristic it, since the drug was taken twice a day, you'd have two peaks. Whereas the immediate release was taken four to six times a day. And so you'd have four to peaks."
,The person's points are that they cannot remember and would need to see data to refresh their recollection.,The facts are that the person cannot remember and would need to see data to refresh their recollection.,The anecdote is the person's recollection.,The person claims that they cannot remember and would need to see data to refresh their recollection.,"My recollection is that they are about the same, but that's a fuzzy recollection and I would need to see the data to refresh myself and be sure, but I, I think you, my recollection is they were, they were close."
They are talking about the difference between the original drug and a generic version of the drug.,"They think that the average blood level would be the same, but there would be fewer peaks and valleys.",N/A,N/A,N/A,"I, my impression is that the average blood level was the same and I'm not certain. So your question is given that the average blood level is the same if I'm correct. And that's a recollection, I haven't Stu seen that data for a very long time. Um, the only diff the difference in the blood level, the remarkable difference would be half as many or a third, as many peaks and valleys. And, um, to the extent that somebody was seeking the drug or enjoying that element of the drug, the, the peak effect, I would think that the drug would be less attractive, but it's a conjecture, it's not knowledge because I don't think we ever did a study that I'm aware"
The topic they are talking about is the difference between the valleys and the height of the peak.,They think that the difference between the valleys and the height of the peak wouldn't have been any different.,The facts they present are that the difference between the valleys and the height of the peak wouldn't have been any different.,They don't support their point with anecdotes.,N/A,"I don't think the valley, the valleys were about the too, so I, I don't think that the valleys or the height of the peak would've been any difference, the principle difference, I think would've been, um, and you saying addicted, would've been, um, fewer peaks and all of this presumes that they were using the drugs as they were made and presented,"
The topic is that people should be able to get two prescriptions from a physician.,They think that people should be able to get two prescriptions from a physician.,The facts are that people should be able to get two prescriptions from a physician.,They do not support their point with anecdotes.,N/A,"They might well be, have gotten two prescriptions from a physician,"
The topic is a possible course of action for a physician.,They are discussing a possible course of action for a physician.,N/A,N/A,N/A,"Possibly I would have told the physician, use the rescue, compute the daily dose and try giving that dose as OxyContin twice a day. That is half of that dose twice a day."
The topic is whether or not taking a drug three times a day is more or less likely to cause addiction.,"The person's points are that they do not know of any study that suggests that taking a drug three times a day is more or less likely to cause addiction, and that they would need to understand the reasoning behind any such claim before accepting it.",The facts are that the person does not know of any study that suggests that taking a drug three times a day is more or less likely to cause addiction.,There are no anecdotes given.,N/A,"I know of no such study and I don't recollect that anybody ever suggested such a study or such a hypothesis I would've had, I would've asked them. Why do you think that they are more prone or less prone to addiction? I wouldn't think it would make a difference again, not based on a study, but based on a conjecture. So I really would have to understand what is the reasoning, why, why taking the drug three times a day would be more likely to cause addiction or less likely."
The topic is whether or not all the documents would've been kept.,The person's points are that they don't think anything would've been thrown away and that there's a destruction policy in place.,The facts are that the person has been engaged in litigation for a long time and that there is a destruction policy in place.,There are no anecdotes.,N/A,"No, they would not all have been kept, uh, to my knowledge in the ordinary course of business. Um, we would've had some sort of destruction policy, but we have been engaged in litigation for so long and so many different matters that basically at least my documents I have, I don't think anything has been thrown away."
The topic is companies in other countries that are doing better than companies in the United States.,The person's points are that there are companies in other countries that are doing better than companies in the United States.,The facts are that there are companies in other countries that are doing better than companies in the United States.,There are no anecdotes.,There are no quotes.,"Or at, at, at Purdue Frederick or in other companies or some of the overseas country companies? Yes. Sure."
,The person's points are that Purdue Pharma and Frederick are both pharmaceutical companies and that they are not sure which one is which.,The facts are that Purdue Pharma and Frederick are both pharmaceutical companies.,The person does not quote any anecdotes.,The claims the person makes are that Purdue Pharma and Frederick are both pharmaceutical companies.,"Purdue, Pharma, Pharma, Purdue, Frederick, whatever"
The topic is unknown.,The person's points are that they are not a lawyer and they don't know the answer to the question.,The facts are that the person is not a lawyer.,There are no anecdotes.,There is no quote.,"I don't know that, you know, I'm not a lawyer. I"
"The person is talking about the term ""business records.""","The person does not understand the term ""business records.""",N/A,N/A,N/A,"Okay. Are they business records? I, I really don't understand what that term means. I, it's not a term I've ever used, so they are what they are. I mean,"
The topic they are talking about is not specified.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their points with anecdotes.,N/A,No
It is unclear what topic the person is talking about.,The person does not provide any points.,N/A,N/A,N/A,I don't believe so.
It is impossible to determine the topic without more information.,The person does not provide any points.,N/A,N/A,N/A,I don't believe so.
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
It is not clear what the person is talking about.,The person's points are that they don't believe in the idea.,N/A,N/A,N/A,No. I don't believe that.
belief,they don't have any facts to inform them otherwise,no,no,no,That's my belief. I don't have any facts to inform me otherwise.
The topic is not stated.,They express confusion and doubt about how they would have been able to check something.,N/A,N/A,N/A,I don't know how I would have checked that.
The topic they are talking about is the review of the call notes.,They are saying that many people reviewed the call notes.,The facts are that the call notes were reviewed by many people.,They do not support their point with anecdotes.,N/A,"I could have looked at the call notes, but I believe that all the call notes were reviewed at least once and probably multiple times by many people."
They are talking about the investigations into Trump's phone call with the Ukrainian president.,They think the investigations are not extensive enough and the call notes are too cryptic to be of any use.,"They don't quote any facts specifically, but they mention that they've seen the call notes and they think they're not helpful.",They don't support their point with any anecdotes.,N/A,"Because I know the number of investigations and the extensive training and retraining that was done, and I believe it would have surfaced any evidence of wrongdoing and been actionable. But as I, I said, I've only seen a few call notes and the ones I've seen are so cryptic and imprecise and unclear in their references, often you don't even know who's saying what these were memory joggers that I've seen. They were written by a person who had a conversation who wanted to recall that conversation two, four, six weeks later."
Whether or not explicit call notes exist,"The person is talking about whether or not explicit call notes exist, and if they do exist, whether or not they are explicit.",No,No,No,If such call notes existed and they were that explicit. Yes. I didn't see any like that.
"The topic is that it is wrong for attorneys to give false information to other attorneys, and especially to the US Attorney and his deputies.","They think that it is wrong for attorneys to give false information to other attorneys, and especially to the US Attorney and his deputies.","The facts are that it is wrong for attorneys to give false information to other attorneys, and especially to the US Attorney and his deputies.",They do not support their point with anecdotes.,N/A,It wouldn't occur to me that any attorney that we hired would give false information to any other attorney and much less so to the us attorney and his deputies.
The topic is apologizing.,The person's points are that they are sorry.,The facts are that the person is sorry.,The person does not support their point with an anecdote.,The person does not quote an anecdote.,I'm sorry.
