topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The topic is the meaning of the text.,The person's points are that they are confused about the meaning of the text and are asking for clarification.,N/A,N/A,N/A,"What, what do you think it means when it says"
The topic is the potency of different drugs.,The person's points are that morphine and hydromorphone are the most potent followed by oxycodone and then hydrocodone.,The facts are that morphine and hydromorphone are the most potent followed by oxycodone and then hydrocodone.,The person does not support their points with anecdotes.,N/A,Okay. It says for them morphine and hydromorphone are the most potent followed by oxycodone and then hydrocodone.
The topic they are talking about is Mark Alfonso's role at Purdue.,They are asking if the person was aware of Mark Alfonso's role at Purdue.,N/A,N/A,N/A,"Yeah. Were you aware that in January 25th, 2001, mark Alfonso, and what was his role at Purdue"
The topic is marketing.,They are summarizing the points.,The facts are that physicians did not feel like oxycodone was as potent as morphine.,They do not support their point with anecdotes.,N/A,Marketing. The head of marketing felt like physicians did not feel like oxycodone was as potent as morphine.
The topic is not stated.,They want to know the opinion of the person they are talking to.,N/A,N/A,N/A,"Well, let, let me ask you this"
It is unclear.,They do not make any points.,N/A,N/A,N/A,"By the no let's his word? Potent, not mine."
N/A,N/A,N/A,N/A,N/A,Word. I didn't change it. It's it's
The topic the person is talking about is the strength of a drug in comparison to morphine.,The person's points are that the documents are unclear and that physicians may be confused about the strength of the drug.,"The facts are that the documents use the word ""potent"" and that physicians think the drug is as strong as morphine.",There are no anecdotes.,N/A,"Right? When we first discussed the first group of documents, you said, no, they're just talking about effectiveness, not strength. The second group of documents where they said it's stronger than morphine, you said no, they just mean strong in a general sense. They don't mean potent here. They use the word potent. I mean, do you just not think physicians don't think it's as strong as morphine? Cause that's, that's what they keep saying. They don't want to clear up in the physician's mind that it's as strong as morphine."
,"The person's points are that everyone has experienced being on a date where they are suddenly not interested in the other person anymore, and that it is hard to pinpoint why.",The anecdote is about being on a date and not being interested in the other person anymore.,"The claims the person makes are that everyone has experienced being on a date where they are suddenly not interested in the other person anymore, and that it is hard to pinpoint why.","The premises the person relies on are that everyone has experienced being on a date where they are suddenly not interested in the other person anymore, and that it is hard to pinpoint why.","Well, we"
The topic is OxyContin.,They are summarizing a point made by someone else that OxyContin is as powerful as morphine and that this is a good thing.,The facts are that OxyContin is as powerful as morphine.,They do not support their point with anecdotes.,N/A,"So when he says here, remember that we tried to reposition OxyContin as powerful as morphine. And we could not finally, we decided not to mess with this perception since it was helping us in the non-cancer market. Did you see where he wrote that?"
The plea agreement,They want to go back and look at the plea agreement again.,N/A,N/A,N/A,"All right. Let's go back to the plea agreement. Oh,"
The topic they are talking about is that it is marked.,They think it is a good idea and are happy with it.,The facts are that it is marked.,They do not support their point with anecdotes.,They do not quote any anecdotes.,It's marked
The topic the person is talking about is training for district sales managers.,The person's points are that all of the district sales managers were trained and that this training occurred in December 1998.,The facts are that all of the district sales managers were trained and that this training occurred in December 1998.,There are no anecdotes.,There are no quotes.,"Paragraph 25 of the agreed statement of facts says on or about December, 1998, Purdue sponsored training for all its district sales managers. Um, now it wasn't some of 'em it's all of them, correct?"
The topic they are talking about is the retention of a pharmacist by Purdue.,They are asking if the person knows who the pharmacist was.,N/A,N/A,N/A,During this meeting a pharmacist retained by Purdue. Do you know who that pharmacist was?
The topic is Purdue's training methods.,"The person's points are that Purdue's training methods are false and misleading, and that the company has a history of deceptive practices.","The facts are that Purdue's training methods are false and misleading, and that the company has a history of deceptive practices.","The anecdotes are about Purdue's training methods being false and misleading, and about the company's history of deceptive practices.",The person does not quote the anecdote.,"Um, a Pharma pharmacist retained by Purdue to conduct a portion of the training used the following graphical demonstration parenthesis. Instead of the graphical demonstration of the actual clinical data described in paragraph 21 of this agreed statement of facts and falsely stated that OxyContin had significantly fewer peak and trough blood level effects than immediate release opioids resulting in less EU fear, euphoria, and less potential for abuse than short acting opioids. And they've got a graph that was used at the training for the"
The topic is the legal document.,They are summarizing the points in the document.,The facts are that Purdue Pharma sales representatives began in 1999.,They do not support their point with anecdotes.,N/A,"And it says on paragraph 26 beginning in or around 1999, some of Purdue new sales representatives, those would be Purdue Pharma sales representatives in 1999. Correct?"
The topic they are talking about is a job posting.,"They point out that the job posting is for new sales representatives, and they wonder if that means Purdue Pharma or Purdue.",N/A,N/A,N/A,Frederick. Yeah. But it says new sales representatives. So are we talking about Purdue Pharma or Purdue
,The person's points are that the lawyer is a weasel and that they have seen his deposition.,The anecdote is that the person has seen the lawyer's deposition.,The claims are that the lawyer is a weasel and that the person has seen his deposition.,The premises are that the person has seen the lawyer's deposition.,"Yeah. The guy that helped put the document together, the lawyer we took his deposition. Have you seen his deposition?"
It is not clear.,The person is summarizing what someone else said. They are not making any points themselves.,N/A,N/A,N/A,"Yeah. And he says, he doesn't know if they're Purdue Pharma or Purdue when he refers to this, I'm telling you"
The topic is unknown.,They are asking if the person is correct and if they don't know.,N/A,N/A,N/A,"Sure. And I'm asking him if it's correct. And he's saying you don't know, correct?"
The topic is Purdue's sales representatives drawing their own blood level graphs to falsely represent that OxyContin did not swing up and down between euphoria and pain.,"The person's points are that Purdue's sales representatives were drawing their own blood level graphs to falsely represent that OxyContin did not swing up and down between euphoria and pain, and that this resulted in less abuse potential.","The facts are that Purdue's sales representatives were drawing their own blood level graphs to falsely represent that OxyContin did not swing up and down between euphoria and pain, and that this resulted in less abuse potential.",There are no anecdotes.,There are no quotes.,"Okay. Um, it says some Purdue new sales representatives were permitted during training at Purdue headquarters to draw their own blood level graphs to falsely represent that OxyContin, unlike immediate release or short-acting opioids did not swing up and down between euphoria and pain and resulted in less abuse potential. And were you aware that the sales reps were doing that?"
The topic is the false statements made by Purdue reps about OxyContin.,"The person's points are that Purdue reps used graphical depictions to falsely state that OxyContin had less euphoric effect and less abuse potential than shorting opioids, and that this conduct was wrong.",The facts are that Purdue reps used graphical depictions to falsely state that OxyContin had less euphoric effect and less abuse potential than shorting opioids.,There are no anecdotes.,There are no quotes.,"And then it says during the period, 1999 through June 30th, 2001, Purdue reps used graphical depictions, similar to the one described in paragraph 25 of these grid statement and, uh, agreed statement of facts and falsely stated to some healthcare providers that OxyContin had less euphoric effect and less abuse potential than shorting opioid opioids. Were you aware that they had no engaged in that conduct?"
They are talking about the addictive nature of OxyContin.,They think that Purdue is deliberately misleading people about the addictive nature of OxyContin.,"The facts are that Purdue is claiming that there are no withdrawal or tolerance effects from using OxyContin, when in reality there are.",They do not support their point with anecdotes.,N/A,"And then to go on with the conduct, paragraph 28 says, uh, misbranding of OxyContin misleading use of article to claim, no withdrawal or tolerance and it proceeds to discuss, um, how Purdue,"
The topic the person is talking about is osteoarthritis.,The person's points are that they will try to shorten the story and that Purdue had an osteoarthritis study.,The facts are that the person will try to shorten the story and that Purdue had an osteoarthritis study.,There are no anecdotes.,There is no quote.,"Well, let's go ahead and read it. Um, uh, had an, I'll try to shorten this a little bit for Purdue had an osteoarthritis study. Um,"
The topic is not stated.,They are asking if the person is familiar with the topic.,N/A,N/A,N/A,Yeah. Are you familiar with that?
The topic they are talking about is the use of low doses of OxyContin by osteoarthritis patients.,They think it will save time.,"The facts are that certain Purdue supervisors and employees sent to the FDA, the results of a clinical study pertaining to the use of low doses of OxyContin by osteoarthritis patients.",They do not support their point with anecdotes.,N/A,"I'll tell you what it'll save time. I'll read it into the record. Okay. On or about January 16th, 1997, certain Purdue supervisors and employees sent to the FDA, the results of a clinical study pertaining to the use of low doses of OxyContin by osteoarthritis patients. Um, it's call it the osteoarthritis study and a final report that included in a section pertaining to respite periods. The statement parenthesis, no investigator reported withdrawal syndrome as an adverse experience during the respite periods in a section entitled adverse experiences by body system, during respite periods, the report's summary of the major results listed the most frequently reported adverse experiences in respite periods to be nervousness, insomnia, nausea, pain, anxiety, depression, and diarrhea followed by the statement 28 patients, 26% had symptoms recorded during one or more respite periods. Did I read that correctly?"
The topic they are talking about is Purdue's practices.,"They are summarizing points made in a document that says Purdue was aware that many physicians believed oxycodone was weaker than morphine, but they did not want to do anything to change that perception.",N/A,N/A,"""And then it says paragraph 29 on or about may 20 se uh, May, 1997, certain Purdue supervisors and employees stated that while they were well aware of the incorrect view held by many physicians that oxycodone was weaker than morphine. They did not want to do anything to make physicians think that oxycodone was stronger or equal to morphine or to take any steps in the form of an emotional materials, symposia, clinicals, publications, conventions, or communications with the field force that would affect the unique position that OxyContin had in many physicians' mind, uh, in quote.""","And then it says paragraph 29 on or about may 20 se uh, May, 1997, certain Purdue supervisors and employees stated that while they were well aware of the incorrect view held by many physicians that oxycodone was weaker than morphine. They did not want to do anything to make physicians think that oxycodone was stronger or equal to morphine or to take any steps in the form of an emotional materials, symposia, clinicals, publications, conventions, or communications with the field force that would affect the unique position that OxyContin had in many physicians' mind, uh, in quote. And did I read that correctly?"
The topic is the agreed statement of facts.,The person's points are that the agreed statement of facts is not clear and that it is not helpful.,The facts are that the agreed statement of facts is not clear and that it is not helpful.,N/A,N/A,And was that part of the agreed statement of facts
The topic is Purdue's possible negligence in warning patients about the risks of addiction and withdrawal associated with their products.,"The person's points are that Purdue knew about the risks of addiction and withdrawal associated with their products, and that they failed to warn patients and doctors.","The facts are that certain supervisors and employees of a United Kingdom company affiliated with Purdue provided certain Purdue supervisors and employees with an analysis of the osteoarthritis study together with another clinical study. This analysis included a list of eight patients in the osteoarthritis study and 11 patients in the other study who had symptoms recorded that may possibly have been related to opioid withdrawal, including one patient in the other study who required treatment for withdrawal symptoms syndrome.",N/A,N/A,"And then it goes on to say on or about February 12th, 1997, certain supervisors and employees of a United Kingdom company affiliated with Purdue provided certain Purdue supervisors and employees with an analysis of the osteoarthritis study together with another clinical study. This analysis included a list of eight patients in the osteoarthritis study and 11 patients in the other study who had symptoms recorded that may possibly have been related to opioid withdrawal, including one patient in the other study who required treatment for withdrawal symptoms syndrome. Did you ever review that study?"
The topic they are talking about is the development of physical dependence and withdrawal symptoms in patients who take OxyContin tablets.,They are summarizing the points made in the quote.,The facts are that some patients in clinical trials develop physical dependence and experience withdrawal symptoms as a result of abrupt discontinuation of OxyContin tablets.,There are no anecdotes given.,N/A,"Um, the discussion section of this analysis include the following quote. It's not surprising that some patients in the clinical trials develop some degree of physical dependence and consequently experience withdrawal symptoms as a result of abrupt discontinuation of OxyContin tablets, all patients who respected to have withdrawal symptoms have been reported, but this may have resulted in a falsely high incidence of the patients who participated in the osteoarthritis study in which patients entered respite periods without OxyContin tablets, many symptoms suspected to be due to opioid withdrawal may simply have resulted from the return of pain after withdrawal of OxyContin tablets, uh, patient 6 0 0 7 complained of nervousness patient 2 0 4 complained of insomnia and felt restless patient 2 22, 28 were restless in anxious. Since these are symptoms, which often accompany the return of significant pain. It may be wrong to label these as withdrawal symptoms. Nonetheless, the instance of withdrawal syndromes in patients three with OxyContin tablets is a concern and it is safer to over report than under report. This problem, this analysis conclusions included this statement as expected. Some patients did become physically dependent on OxyContin tablets, but this is not expected to be a clinical problem. So as long, so long as abrupt withdrawal of the drug"
The topic they are talking about is whether or not certain Purdue employees participated in the final draft of an article.,They are asking if the person was aware that certain Purdue employees participated in the final draft of an article.,N/A,N/A,N/A,"Were you aware that certain Purdue employees participating in the final draft of the article regarding the osteoarthritis study that was published in a medical journal on or about March 27th, 2000. Um, okay. Um, were you aware they participated in that publishing of that study?"
The topic they are talking about is the results of a study on the incidence of withdrawal syndrome and withdrawal symptoms experienced by patients taking OxyContin.,They are summarizing the points made in the article.,The facts they mention are that one patient was hospitalized for withdrawal symptoms and that a second patient experienced withdrawal symptoms after running out of study medication.,They do not mention any anecdotes.,N/A,"The results section of the article, uh, I'm reading from paragraph 31, right. Included the following three statements pertaining to the incidence of withdrawal syndrome and withdrawal symptoms experienced by study patients. One patient was hospitalized parenthesis for withdrawal symptoms. The patient who was hospitalized with withdrawal symptoms had completed the study on a previous day and had been, been receiving CR oxycodone 70 milligram symptoms resolved after three days. Um, <affirmative> um, a second patient received 60 milligrams CR oxycodone experienced withdrawal symptoms after running out study medication, the patient had not reported withdrawal symptoms during scheduled respite from doses of 30 or 40 withdrawal symptom was not reported as an adverse event for any patient during scheduled respite, adverse experiences reported by more than 10% of patients during scheduled respite were nervousness nine patients with insomnia, eight patients, um, purple paragraph 32 says the article included a comment section, uh, summarized, um, the three statements and the results and further suggested that patients taking low doses could have their OxyContin treatment abruptly discontinued without experiencing withdrawal if their condition so warranted. Were you aware they were making that claim?"
The topic they are talking about is the osteoarthritis study article.,They are asking if the person knows which supervisors and employees sent the full text of the osteoarthritis study article.,"The facts are that certain Purdue supervisors, employees sent the full text of this osteoarthritis study article.",They do not support their point with anecdotes.,N/A,"If you go over to paragraph 34, it says on or about June 26th, 2000 certain Purdue supervisors, employees sent the full text of this osteoarthritis study article. Do you know which supervisors and employees sent the full text of this article?"
The event,"The person is discussing whether or not a recent event was caused by the marketing group. They don't think so, and believe it was just a coincidence.",N/A,N/A,N/A,Do you know if it was the marketing group?
The topic they are talking about is Purdue's practices.,They are summarizing Purdue's own review of their accuracy of the withdrawal data in the osteoarthritis study.,The facts are that Purdue's own people reviewed the data and found it to be inaccurate.,There are no anecdotes.,N/A,"And it says, um, together with a marketing tip to produce entire Salesforce, the marketing tip stated that a reprint of the osteoarthritis study article was available for use in achieving sales success. The marketing tip also included as one of the articles, 12, 12 key points. There were two reports of withdrawal symptoms after patients abruptly stopped taking CR oxycodone at doses of 60 or 70 withdrawal syndrome was not reported as an adverse event during scheduled respite, indicating that CR oxycodone at doses below 60 milligrams can be discontinued without tapering the dose. If the patient conditions sow warrants, it says on or about February 13th, 2001, certain Purdue supervisors and employees received a review of the accuracy of the withdrawal data in the osteoarthritis study and stated, now this is Purdue's own people reviewing this data, correct."
The topic they are talking about is the data on the withdrawal symptoms experienced by patients in the osteoarthritis study.,They think that writing up the data would add to the negative press that Purdue is currently receiving and that it should be deferred.,"The facts are that 106 patients initially participated in the osteoarthritis study, 32 of them withdrew because of severe adverse events, and 38 patients remaining in the study at 12 months.",They do not support their point with anecdotes.,N/A,"Read it. And it says, quote, upon a review of all comments for the enrolled patients. It was noted that multiple had comments which directly stated or implied that an adverse experience was due to possible withdrawal symptoms. This was followed by a list of 11 study patients who reported adverse experience due to possible withdrawal symptoms. During these periods, 106 patients initially participated in the osteoarthritis study, 32 of them withdrew because of severe, I'm sorry, because of adverse events, not necessarily related to withdrawal and 38 patients remaining in the study at 12 months. Um, and then the next paragraph reads on or about March 28th, 2001. So this is a month and a half later a Purdue employee emailed a Purdue supervisor regarding the review of the withdrawal data described in paragraph 35 of the agreed statement of facts asking, do you think the withdrawal data from the osteoarthritis study is worth writing up parenthesis and abstract, or would this add to the current negative press that should be deferred? The supervisor responded? I would not write it up at this point and no abstract was prepared. Do you see that?"
The topic is whether Purdue was using the marketing material from the article improperly.,The person's points are that they object to the form of the question.,The facts are that Purdue was using the marketing material from the article improperly and not reporting the adverse effects.,There are no anecdotes.,There are no quotes.,"It. So am I correct that Purdue was using the marketing material from this article, um, improperly and not reporting the adverse effects, uh, and was allowing their sales force to use it. I object to the form of the question."
The topic is Purdue's marketing department using this article.,They think that Purdue's marketing department is using this article.,The facts are that Purdue's marketing department is using this article.,They do not support their point with anecdotes.,N/A,Sure. Was Purdue's marketing department using this article.
The topic is whether people were using the product inappropriately.,They are questioning whether people were using the product inappropriately.,N/A,N/A,N/A,"And were they using it, uh, inappropriately?"
The topic is whether or not to write up the withdrawal data from the arthritis study.,"The person's points are that the withdrawal data from the arthritis study is different than how the sales force is using it, and that they are not sure if they should write it up because it might add to the current negative press.",The facts are that the withdrawal data from the arthritis study is different than how the sales force is using it.,There are no anecdotes.,There is no quote.,"And when somebody pointed out that the withdrawal data from the arthritis study was actually different than how the sales force was using it and asked, should we write it up or is this going to add to the current negative press and should be deferred? The person supervisor said, I would not write it up at this point. Correct."
Unknown,"The person is asking if a study was ever written up, and if the doctors who were shown the study were ever told that the information in the study was incorrect.",No,No,No,"Do you know if it ever got written up? I don't know. Do you know if any of these doctors that were shown this were ever told that, uh, that it actually wasn't correct?"
The topic is whether or not somebody at Purdue made an effort to tell the doctors that the marketing things were not correct.,"The person's points are that they don't know if anybody made an effort to tell the doctors, and that the marketing things might not be correct.",There are no facts given.,There are no anecdotes given.,There is no quote given.,"Do you know if anybody at Purdue made an effort to go tell these doctors that all of these marketing things that had been brought up in the agreed statement of facts, um, uh, were not correct?"
The topic is Purdue employees making false marketing statements to doctors.,They are saying that Purdue employees made false marketing statements to doctors.,The facts are that Purdue employees made false marketing statements to doctors.,There are no anecdotes.,There are no quotes.,"Did you yourself ever tell anybody to go inform doctors that these marketing, um, statements that had been used by Purdue employees that were not accurate, um,"
They are talking about the accuracy of information.,They say that the facts were not accurate.,The facts are that the information was not accurate.,N/A,N/A,"Were, um, were in fact not accurate,"
The topic is Purdue Pharma.,"The person's points are that Purdue Pharma is responsible for the opioid crisis, and that the company's directors were aware of this.","The facts are that Purdue Pharma is responsible for the opioid crisis, and that the company's directors were aware of this.",There are no anecdotes.,There are no quotes.,"And as the director of Purdue Pharma, you were not made aware of any of this."
The topic is the CEO's awareness of illegal conduct at Purdue Pharma.,The person's points are that the CEO was aware of the illegal conduct and that it continued for a number of years.,The facts are that the CEO was aware of the illegal conduct and that it continued for a number of years.,There are no anecdotes.,There are no quotes.,"And at the time that this, uh, conduct went on from 96 to 2001, the time period investigated by at least this us attorney under this agreed statement of facts, you were in fact, the CEO of Purdue Pharma,"
The topic they are talking about is the CEO not writing up data.,They are summarizing points that the CEO made about an employee writing up data.,The facts are dates and what the employee was told to do.,They do not support their point with anecdotes.,N/A,"And so if this conduct occurred, um, on May 18th, 2000, June 22nd, 2000, February 13th, 2000. And on March 18th, 2001, this employee was told not to write up the withdrawal data because of negative press and that it should be deferred. You'd have been the CEO during this time period, correct?"
Robert Reader,Robert Reader's role at Purdue,Robert Reader was a professor at Purdue,Claims that Reader was a great professor,No,"Yeah. What, what was Robert reader's role at Purdue?"
The topic they are talking about is the distribution of the osteoarthritis study article by Purdue supervisors and employees.,"They are saying that Purdue supervisors and employees distributed copies of the reprint of the osteoarthritis study article to all of Purdue sales representatives for use in the promotion and marketing of OxyContin to healthcare providers, including the distribution of 10,615 copies to certain Purdue sales representatives between February 13th, 2001 and June 30th, 2001.","The facts are that Purdue supervisors and employees distributed copies of the reprint of the osteoarthritis study article to all of Purdue sales representatives for use in the promotion and marketing of OxyContin to healthcare providers, including the distribution of 10,615 copies to certain Purdue sales representatives between February 13th, 2001 and June 30th, 2001.",They do not support their point with anecdotes.,N/A,"Next paragraph says, uh, so between June 26th, 2000 and June 30th, 2001, certain Purdue supervisors and employees distributed copies of the reprint of the osteoarthritis study article to all of Purdue sales representatives for use in the promotion and marketing of OxyContin to healthcare providers, including the distribution of 10,615 copies to certain Purdue sales representatives between February 13th, 2001 and June 30th, 2001. Um, so it looks like on March 28th, the supervisor tells the employee don't write up the withdrawal data from the osteoarthritis study. Uh, it would add to the current, uh, negative press and should be deferred. And between February 13th, 2001 and June 30th, 2001, 10,615 copies of, uh, the osteoarthritis study were distributed to sales representatives. Correct."
The topic they are talking about is the purpose of submitting it to the sales representative.,They are questioning the purpose of submitting it to the sales representative.,N/A,N/A,N/A,"Um, was the purpose of submitting it to the sales representative so they could show it to the physicians that they called on."
They are talking about the number of sales reps at Purdue.,They point out that there are 800 sales reps at Purdue that produced the highest volume of sales reps during this period of time.,The facts are that there are 800 sales reps at Purdue that produced the highest volume of sales reps during this period of time.,They do not support their point with anecdotes.,N/A,"There's only, uh, 800 sales reps at Purdue that produced highest volume of sales reps during this period of time. Correct,"
They are talking about the number of copies that were printed.,"They think that 800 copies would have been sufficient, but 10,615 were printed.","The facts are that 800 copies would have been sufficient, but 10,615 were printed.",They do not support their point with anecdotes.,N/A,"So if you wanted to give a copy to each sales rep for their own use, you'd probably only need 800, but they printed off 10,615 copies, correct?"
topic is unknown,summarizes points,facts are that sales reps were showing these to doctors,no anecdotes,no quote,Is it reasonable to conclude that the sales reps were showing these to the doctors
The topic they are talking about is the osteoarthritis article.,"They are wondering if Purdue got any of the 10,000 16, 615 copies of the osteoarthritis article.",N/A,N/A,N/A,"Do you know if Purdue ever got any of this 10,000 16, 615 copies of the osteoarthritis article? Uh, back,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic is the statements made by the sales representatives about OxyContin.,"The person's points are that the statements made by the sales representatives are false and misleading, and that they are not accurate.","The facts are that the statements made by the sales representatives are false and misleading, and that they are not accurate.",There are no anecdotes.,There are no quotes.,"It says, um, on paragraph 38 during the period, June 26th, 2000 through June 30th, 2001, certain Purdue sales representatives distributed the reprint of the osteoarthritis article to some healthcare providers and falsely, or misleadingly stated that patients taking OxyContin doses below 60 milligrams per day can always be discontinued abruptly without withdrawal symptoms. And that patients on such doses would not develop tolerance. And that's not an accurate statement, is it?"
The topic is Purdue's OxyContin marketing practices.,"The person's points are that Purdue's OxyContin package insert approved by the FDA stated that delayed absorption as provided by OxyContin tablets is believed to reduce the abuse liability of the drug, and that certain Purdue supervisors, employees instructed Purdue sales representatives to use this statement to market and promote OxyContin, but that sales reps were falsely telling some healthcare providers that the reduced use liability statement meant that OxyContin did not cause a buzz or euphoria, cause less euphoria, had less addiction potential, was less likely to be diverted than immediate release opioids, and could be used to weed out addicts and drug seekers.","The facts are that the FDA approved OxyContin package insert stated that delayed absorption as provided by OxyContin tablets is believed to reduce the abuse liability of the drug, and that certain Purdue supervisors, employees instructed Purdue sales representatives to use this statement to market and promote OxyContin, but that sales reps were falsely telling some healthcare providers that the reduced use liability statement meant that OxyContin did not cause a buzz or euphoria, cause less euphoria, had less addiction potential, was less likely to be diverted than immediate release opioids, and could be used to weed out addicts and drug seekers.",There are no anecdotes.,N/A,"And then on, um, with regard to misbranding of OxyContin use of reduced abuse, liability claims in marketing, um, it says paragraph that's OxyContin package insert approved the FDA stated by the FDA stated delayed absorption as provided by OxyContin tablets is believed to reduce the abuse liability of the drug that's called the reduced abuse liability statement. Certain Purdue supervisors, employees instructed Purdue sales representatives to use this statement to market and promote OxyContin. Paragraph 40 says certain Purdue sales reps while promoting and marketing OxyContin, falsely told some healthcare providers that the reduced use liability statement meant that OxyContin did not cause a buzz or euphoria cause less euphoria had less addiction. Potential had less abuse. Potential was less likely to be diverted than immediate release opioids and could be used to weed out addicts and drug seekers. And, um, it says by March, 2000 various Purdue supervisors and employees in different parts of the company had received reports of OxyContin abuse and diversion occurring in different communities. And that on or about November 27th, 2000 certain Purdue supervisor and employees amended the reduced abuse liability statement to say that delayed absorption as provided by OxyContin tablets when used properly for the management of pain is believed to reduce the the	drug	and	instructed	produce	sales	reps	to	use	the	amended	statement	to	promote	and	market	OxyContin.	Uh,	do	you	know	why	that	statement	was	changed?"
The topic they are talking about is Purdue's response to the OxyContin crisis.,They are summarizing Purdue's response to the OxyContin crisis.,The facts are that Purdue changed their packet insert when they found out OxyContin was being abused.,There are no anecdotes.,N/A,"Well, when Purdue found out that OxyContin was being abused and diverted, uh <affirmative> they changed their packet, insert kind of cleverly, really, if you read it right. Uh, when used properly for the management of pain, do you know what they meant by that?"
The topic is the risks of abuse and addiction for OxyContin.,"The person's points are that the statements made by the sales representatives are not correct, and that OxyContin does have a risk for abuse and addiction.",The facts are that certain sales representatives made false statements about the risks of abuse and addiction for OxyContin.,There are no anecdotes.,N/A,"Okay. Next paragraph says from March, 2000 through June 30th, 2001, certain produced sales representatives while promoting and marketing OxyContin, falsely told some healthcare providers that they reduced abuse liability statement. And the amended statement meant that OxyContin did not cause a buzz or euphoria caused less euphoria had less addiction, potential had less abuse. Potential was less likely to be diverted than immediate release opioids and can be used to weed out a and drug seekers. And those statements are not correct."
The topic they are talking about is the introduction of misbranded OxyContin into interstate commerce.,They point out that Purdue manufactured and sold OxyContin in interstate commerce from various locations.,The facts are that Purdue manufactured and sold OxyContin in interstate commerce from various locations.,They do not support their point with anecdotes.,N/A,"Introduction of misbranded, uh, OxyContin into interstate commerce. And that is actually the, uh, the guilty plea. Pardon? Um, let's it's um, points out that, uh, Purdue manufactured and sold OxyContin in interstate commerce from various locations."
They are talking about the idea.,They think it is a good idea and are supportive of it.,The facts are that it is the next paragraph.,They do not support their point with anecdotes.,N/A,"That's the very next paragraph,"
The topic they are talking about is Purdue's sale of OxyContin.,They are pointing out that Purdue sold OxyContin all over the US.,The facts are that Purdue sold OxyContin all over the US.,They do not support their point with anecdotes.,N/A,And that's just pointing out that Purdue sold OxyContin all over the us. Correct.
no,does not state a position,no,no,no,"Yeah, you're right."
The topic is Purdue Pharma and OxyContin.,They are asking if Purdue Pharma sold OxyContin all over the US.,N/A,N/A,N/A,I'll withdraw the question. Okay. Did Purdue Pharma sell OxyContin all over the us
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,"Um, 1996 to 2001."
The topic is Purdue's misrepresentations.,"The person's points are that Purdue was aware that physicians did not understand the complex processes of treating pain, and that this allowed Purdue to get away with making misrepresentations.",The facts are that Purdue was aware that physicians did not understand the complex processes of treating pain.,There are no anecdotes.,There are no quotes.,Now as part of the reason Purdue was able to get away with making these misrepresentations is because Purdue was aware that physicians did not understand the complex processes of treating pain.
The topic the person is talking about is whether Purdue owned focus groups showed that doctors didn't understand whether OxyContin was stronger than morphine.,"The person's points are that they are unsure if doctors understand the difference between OxyContin and morphine, and if Purdue owned the focus groups.",There are no facts given.,There are no anecdotes given.,There is no quote given.,"Um, did Purdue own focus groups show that doctors uh, didn't understand, um, whether OxyContin was stronger than morphine?"
The topic is pain treatment.,They want to know if doctors understand prescribing practices for pain treatment.,N/A,N/A,N/A,"What about the treatment of pain? Did you feel like doctors understood or physicians understood, uh, prescribing practices that should be utilized for the treatment of pain?"
They are talking about the need to spend money on educating physicians.,They think that the reason given for needing to spend so much money educating physicians is not valid.,N/A,N/A,N/A,"Um, in that the reason y'all were claiming that you needed to spend so much money educating physicians is cause they didn't understand pain prescribing."
The topic they are talking about is how to get a large sales force to use a marketing message.,They think that the only way to get a large sales force to use a marketing message is to instruct them explicitly and unmistakably to do so.,The facts are that the sales force needs to be instructed explicitly and unmistakably to use a marketing message.,They do not support their point with anecdotes.,N/A,"Um, would you agree that the only way to get a large sales force to use a marketing message is to instruct them explicitly and unmistakably to do so?"
The topic that the person is talking about is Mr. Shapiro's testimony regarding how a sales force can be instructed to use a marketing message.,"The person summarizes Mr. Shapiro's point by saying that he believes that in order for a sales force to use a marketing message, they need to be instructed to do so explicitly.",N/A,N/A,N/A,Mr. Shapiro has testified. I want you to assume he's testified that the only way to get a large sales force to use a marketing message is to instruct them explicitly and unmistakably to do so. Would you agree with that?
The topic is not clear.,They think it is a good idea and want you to agree with them.,N/A,N/A,N/A,"It to me. I'm I'm I want you to assume he's testified to that,"
N/A,They cannot summarize their points.,N/A,N/A,N/A,"In front of you. I don't have a transcript in front of me. I'm asking you from my own memory. Well, you"
The topic is evidence of improper training at Purdue.,"The person's points are that they are unsure if there is evidence of improper training at Purdue, and they want to know if the other person believes there is evidence.",There are no facts given.,There are no anecdotes given.,There are no quotes given.,"Um, do you believe there's evidence of improper training that has occurred at Purdue based on the agreed statement of facts?"
The topic is the use of improper statements to educate physicians about prescribing OxyContin.,The person's points are that the use of improper statements is wrong and that they want to know what percentage of the sales force is using them.,The facts are that the use of improper statements is wrong and that they want to know what percentage of the sales force is using them.,There are no anecdotes.,There are no quotes.,"Did you ever, um, do you know, as we sit here today, what percentage of your sales force was using this, these improper statements, uh, to educate physicians about prescribing OxyContin?"
The idea,They think that it was a bad idea and that it didn't work.,N/A,N/A,N/A,"Okay. Whether it was a hundred percent, 50%, 10%, you don't have any,"
